,precision,recall,f1-score,support
Earth-like,0.5340855665256229,0.35544430538172717,0.42682697726845764,3196.0
Jupiter-like,0.7846853677028052,0.7608429306542515,0.7725802438417517,4081.0
Neptune-like,0.5076887232059646,0.5049826187717266,0.5063320553038224,4315.0
Super-Earth,0.4394165423504061,0.550342536848661,0.4886635944700461,4817.0
accuracy,0.5528063867389847,0.5528063867389847,0.5528063867389847,0.5528063867389847
macro avg,0.5664690499461997,0.5429030979140915,0.5486007177210195,16409.0
weighted avg,0.5616786386340838,0.5528063867389847,0.551877283665451,16409.0
