kepid,pl_name,Score_Habitability,Score_Type,Score_Detection,Score_Radio,ProbeScore,rank,pl_rade,pl_bmasse,pl_eqt,pl_dens,planet_type_rule
8087812.0,Kepler-1952 b,0.6,1.0,0.5,1.0,0.685,55,1.23923346,2.07,725.0,,Earth-like
5339567.0,Kepler-1240 b,0.6,1.0,0.5,1.0,0.685,56,1.15,1.6,1121.0,,Earth-like
5308537.0,Kepler-1955 b,0.6,1.0,0.5,1.0,0.685,57,1.16654878,1.69,853.0,,Earth-like
5301750.0,Kepler-84 d,0.6,1.0,0.5,1.0,0.685,58,1.38,2.48,1254.0,,Earth-like
8095441.0,Kepler-1332 b,0.6,1.0,0.5,1.0,0.685,59,1.37,2.45,728.0,,Earth-like
8120608.0,Kepler-186 b,0.6,1.0,0.5,1.0,0.685,60,1.07,1.24,571.0,,Earth-like
5281113.0,Kepler-1602 b,0.6,1.0,0.5,1.0,0.685,61,1.34,2.36,1159.0,,Earth-like
8168187.0,Kepler-1142 b,0.6,1.0,0.5,1.0,0.685,62,1.47,2.76,902.0,,Earth-like
8481129.0,Kepler-1223 b,0.6,1.0,0.5,1.0,0.685,63,1.22,1.98,557.0,,Earth-like
8558011.0,Kepler-607 b,0.6,1.0,0.5,1.0,0.685,64,0.87,0.59,1874.0,,Earth-like
5096590.0,Kepler-1424 b,0.6,1.0,0.5,1.0,0.685,65,1.16,1.65,629.0,,Earth-like
8883329.0,Kepler-393 b,0.6,1.0,0.5,1.0,0.685,66,1.29,2.21,1052.0,,Earth-like
8892157.0,Kepler-1149 b,0.6,1.0,0.5,1.0,0.685,67,1.44,2.67,1128.0,,Earth-like
4814502.0,Kepler-1933 b,0.6,1.0,0.5,1.0,0.685,68,1.17984089,1.76,1058.0,,Earth-like
8895758.0,Kepler-1427 b,0.6,1.0,0.5,1.0,0.685,69,1.1,1.37,1844.0,,Earth-like
8947520.0,Kepler-1264 b,0.6,1.0,0.5,1.0,0.685,70,1.18,1.76,1677.0,,Earth-like
4770365.0,Kepler-1669 d,0.6,1.0,0.5,1.0,0.685,71,1.22,1.98,669.0,,Earth-like
4757437.0,Kepler-168 b,0.6,1.0,0.5,1.0,0.685,72,1.46,2.73,1240.0,,Earth-like
4741126.0,Kepler-887 c,0.6,1.0,0.5,1.0,0.685,73,1.13,1.51,1089.0,,Earth-like
4736644.0,Kepler-1470 b,0.6,1.0,0.5,1.0,0.685,74,1.07,1.24,574.0,,Earth-like
8972058.0,Kepler-115 b,0.6,1.0,0.5,1.0,0.685,75,1.09,1.32,1489.0,,Earth-like
8978528.0,Kepler-329 b,0.6,1.0,0.5,1.0,0.685,76,1.4,2.54,547.0,,Earth-like
9002278.0,Kepler-62 c,0.6,1.0,0.5,1.0,0.685,77,0.54,4.0,578.0,,Earth-like
9006449.0,Kepler-295 b,0.6,1.0,0.5,1.0,0.685,78,1.22,1.98,741.0,,Earth-like
9008737.0,Kepler-404 b,0.6,1.0,0.5,1.0,0.685,79,1.27,2.15,730.0,,Earth-like
9009036.0,Kepler-1616 b,0.6,1.0,0.5,1.0,0.685,80,1.02,1.04,1337.0,,Earth-like
9015738.0,Kepler-909 b,0.6,1.0,0.5,1.0,0.685,81,1.47,2.76,852.0,,Earth-like
9020114.0,Kepler-1901 b,0.6,1.0,0.5,1.0,0.685,82,1.47418907,2.77,1132.0,,Earth-like
9020160.0,Kepler-191 b,0.6,1.0,0.5,1.0,0.685,83,1.34,2.36,722.0,,Earth-like
9044228.0,Kepler-1039 b,0.6,1.0,0.5,1.0,0.685,84,1.46,2.73,2080.0,,Earth-like
9070666.0,Kepler-1408 b,0.6,1.0,0.5,1.0,0.685,85,0.89,0.64,1616.0,,Earth-like
6118370.0,Kepler-1506 b,0.6,1.0,0.5,1.0,0.685,86,1.32,2.3,783.0,,Earth-like
9117416.0,Kepler-1921 c,0.6,1.0,0.5,1.0,0.685,87,1.41,2.57,1791.0,,Earth-like
9146018.0,Kepler-192 d,0.6,1.0,0.5,1.0,0.685,88,1.02,1.04,926.0,,Earth-like
4563268.0,Kepler-625 c,0.6,1.0,0.5,1.0,0.685,89,1.05,1.16,1048.0,,Earth-like
9177629.0,Kepler-1848 b,0.6,1.0,0.5,1.0,0.685,90,1.4088539,2.57,774.0,,Earth-like
9209624.0,Kepler-387 b,0.6,1.0,0.5,1.0,0.685,91,1.03,1.08,994.0,,Earth-like
4827723.0,Kepler-629 b,0.6,1.0,0.5,1.0,0.685,92,1.38,2.48,816.0,,Earth-like
8801316.0,Kepler-1394 b,0.6,1.0,0.5,1.0,0.685,93,1.39,2.51,1947.0,,Earth-like
8505670.0,Kepler-252 b,0.6,1.0,0.5,1.0,0.685,94,1.23,2.04,587.0,,Earth-like
8766650.0,Kepler-1008 b,0.6,1.0,0.5,1.0,0.685,95,1.28,2.18,627.0,,Earth-like
8544992.0,Kepler-388 c,0.6,1.0,0.5,1.0,0.685,96,0.86,0.566,515.0,,Earth-like
7871954.0,Kepler-303 b,0.6,1.0,0.5,1.0,0.685,97,0.89,0.64,802.0,,Earth-like
5088536.0,Kepler-130 b,0.6,1.0,0.5,1.0,0.685,98,1.02,1.04,982.0,,Earth-like
8573193.0,Kepler-1591 b,0.6,1.0,0.5,1.0,0.685,99,1.27,2.15,892.0,,Earth-like
8609450.0,Kepler-282 b,0.6,1.0,0.5,1.0,0.685,100,1.01,1.01,817.0,,Earth-like
8611832.0,Kepler-384 b,0.6,1.0,0.5,1.0,0.685,101,1.12,1.46,670.0,,Earth-like
8616637.0,Kepler-190 c,0.6,1.0,0.5,1.0,0.685,102,1.46,2.73,948.0,,Earth-like
8628758.0,Kepler-804 c,0.6,1.0,0.5,1.0,0.685,103,1.14,1.55,890.0,,Earth-like
8636600.0,Kepler-1959 b,0.6,1.0,0.5,1.0,0.685,104,1.14315727,1.57,811.0,,Earth-like
8644365.0,Kepler-1485 b,0.6,1.0,0.5,1.0,0.685,105,1.47,2.76,728.0,,Earth-like
8680979.0,Kepler-330 b,0.6,1.0,0.5,1.0,0.685,106,1.35,2.39,714.0,,Earth-like
8681734.0,Kepler-1198 b,0.6,1.0,0.5,1.0,0.685,107,1.47,2.76,830.0,,Earth-like
5003670.0,Kepler-1962 b,0.6,1.0,0.5,1.0,0.685,108,1.21463929,1.95,901.0,,Earth-like
8681833.0,Kepler-1372 b,0.6,1.0,0.5,1.0,0.685,109,1.27,2.15,1655.0,,Earth-like
8685497.0,Kepler-914 b,0.6,1.0,0.5,1.0,0.685,110,1.38,2.48,1192.0,,Earth-like
8700771.0,Kepler-806 b,0.6,1.0,0.5,1.0,0.685,111,1.14,1.55,1089.0,,Earth-like
4932442.0,Kepler-923 b,0.6,1.0,0.5,1.0,0.685,112,1.38,2.48,1104.0,,Earth-like
8733898.0,Kepler-446 b,0.6,1.0,0.5,1.0,0.685,113,1.5,2.86,648.0,,Earth-like
8738775.0,Kepler-1498 b,0.6,1.0,0.5,1.0,0.685,114,1.33,2.33,564.0,,Earth-like
4914566.0,Kepler-1300 b,0.6,1.0,0.5,1.0,0.685,115,1.37,2.45,954.0,,Earth-like
8751796.0,Kepler-1435 b,0.6,1.0,0.5,1.0,0.685,116,0.86,0.566,1331.0,,Earth-like
8753657.0,Kepler-406 c,0.6,1.0,0.5,1.0,0.685,117,0.85,2.71,1050.0,,Earth-like
4857213.0,Kepler-1680 b,0.6,1.0,0.5,1.0,0.685,118,1.35954736,2.42,771.0,,Earth-like
8753896.0,Kepler-389 c,0.6,1.0,0.5,1.0,0.685,119,1.46,2.73,636.0,,Earth-like
8757824.0,Kepler-1275 b,0.6,1.0,0.5,1.0,0.685,120,1.48,2.79,1368.0,,Earth-like
7907423.0,Kepler-249 b,0.6,1.0,0.5,1.0,0.685,121,1.09,1.32,554.0,,Earth-like
7838675.0,Kepler-1561 b,0.6,1.0,0.5,1.0,0.685,122,1.09,1.32,1682.0,,Earth-like
7841925.0,Kepler-865 c,0.6,1.0,0.5,1.0,0.685,123,0.89,0.64,914.0,,Earth-like
