run,model,acc_train,acc_test,precision_w,recall_w,f1_w,roc_auc_macro,pr_auc_macro
3B,RF_base,0.9997915053315065,0.7583962509763083,0.7539768622204767,0.7583962509763083,0.755051012528235,0.8685657560382799,0.6591622466919763
3B,LGBM_best,0.9563352594269375,0.7522780525904712,0.7521009863417607,0.7522780525904712,0.7519550272019689,0.7915854964142305,0.7453843402802871
3B,LGBM_base,0.9937302674688747,0.7476568601926582,0.742934803001304,0.7476568601926582,0.744915081565565,0.8169489562961664,0.6247899462311216
3B,RF_best,0.9253589086793352,0.7349648529028898,0.7435451652271157,0.7349648529028898,0.7369147753412708,0.8694184132438624,0.6594868306319656
3B,LogReg,0.6518139036158932,0.6346654517052851,0.7193342615670226,0.6346654517052851,0.64570125228007,0.7878495264621538,0.5238605297958044
