run,model,acc_train,acc_test,precision_w,recall_w,f1_w,roc_auc_macro,pr_auc_macro
3A,LGBM_base,1.0,0.9985029940119761,0.9984975406003868,0.9985029940119761,0.9984998877622905,0.9999289965564353,0.9886010639580327
3B,RF_base,0.9997915053315065,0.7583962509763083,0.7539768622204767,0.7583962509763083,0.755051012528235,0.8685657560382799,0.6591622466919763
