kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
8738735,K00693.02,4.1e-05,1.0,7.7e-16,6.1e-29,1.2e-09,8.3e-11,1.7e-11,5.6e-16,0.018,6058.0,1.0,1.0,1.0,4.8e-38,8.148e-06,1.30000133e-09,0.33168844576250717,0,0.6606315896878756
8802165,K00694.01,8.3e-09,1.0,3.2e-09,7.3e-13,2.8e-09,2.3e-09,7.7e-21,7.4e-13,0.029,5752.0,1.0,1.0,1.0,0.0,1.574e-06,8.301470000007698e-09,0.33167496127145374,0,0.6606315896878756
8805348,K00695.01,3.1e-05,1.0,1.6e-05,6.2e-06,8.8e-06,1.3e-08,3.7e-12,1.3e-10,0.022,5864.0,1.0,1.0,1.0,3.3e-06,2.695e-06,3.10131337e-05,0.3316862550439766,0,0.6606315896878756
8869680,K00696.01,2.3e-05,1.0,1.1e-41,1.6e-40,1.1e-07,3.3e-09,6.6e-12,1.5000000000000002e-22,0.012,5964.0,0.0,1.0,0.0,0.0,0.0,1.1330660000000015e-07,0.3333408993358497,0,0.6606315896878756
8878187,K00697.01,7.4e-11,1.0,1.4e-24,1.0000000000000001e-20,3.2999999999999997e-29,6.9e-11,4.1e-12,3.8999999999999997e-31,0.023,5842.0,9.1e-06,1.0,1.0,9.1e-06,1.189e-06,7.31000000100014e-11,0.6650082768070956,1,0.6606315896878756
8908102,K00699.01,1.0,0.0,0.0,0.0,0.0,1.1000000000000001e-97,9.4e-89,3.9e-219,0.364,6562.0,1.0,1.0,1.0,0.0,9.622e-07,9.400000010999999e-89,0.6606315896878756,1,0.6606315896878756
8962094,K00700.01,0.0054,1.0,1.7e-05,0.0052,9e-05,2.5e-07,8.3e-05,1.4e-07,0.025,5672.0,1.0,1.0,1.0,0.0,6.997e-06,0.005390389999999999,0.3334513243488253,0,0.6606315896878756
8962094,K00700.02,0.00094,1.0,6.3e-13,3.6e-15,0.00092,2.4e-06,1.4e-07,1.8e-05,0.016,5672.0,1.0,1.0,1.0,0.0,1.593e-05,0.0009405400006336001,0.3319843554106978,0,0.6606315896878756
3453214,K00802.01,0.19,1.0,0.024,0.16,0.00078,6e-05,3.5e-07,1.5e-13,0.138,5686.0,1.0,0.71,1.0,0.0,5.49e-06,0.18484035000015,0.39417671845860675,0,0.6606315896878756
3554600,K00803.01,1.0,1.0,1.2000000000000001e-17,4.4e-06,0.19,9.2e-05,2.9e-05,0.81,0.194,5682.0,0.0,1.0,0.0,0.0,0.0,1.0001254000000002,0.6623312156421247,1,0.6606315896878756
