steff_bin,count,mean,std
"(3093.999, 5262.0]",1631,0.478215441233498,0.1757481761125188
"(5262.0, 5697.0]",1630,0.474364726580538,0.17596560052003513
"(5697.0, 6060.0]",1632,0.4837732750109104,0.1761433180809733
"(6060.0, 16729.0]",1627,0.5398188303921834,0.19632213862615291
